#DISTANCE:      BLOCK_NUMBER:        AVE_POFV:
        1.17          18    0.521724
         1.3          18    0.578027
        1.43          18     0.58141
        1.56          18    0.566667
        1.69          18    0.524288
        1.82          18    0.517842
        1.95          18    0.460506
        2.08          18    0.389352
        2.21          18    0.344872
        2.34          18    0.301425
        2.47          18    0.236823
         2.6          18    0.188604
        2.73          18    0.152885
        2.86          18    0.104095
        2.99          18   0.0760328
        3.12          18   0.0598291
        3.25          18   0.0450855
        3.38          18   0.0312322
        3.51          18    0.026567
        3.64          18   0.0127493
        3.77          18  0.00776353
         3.9          18  0.00416667
        4.03          18  0.00302707
        4.16          18  0.00324074
        4.29          18  0.00124644
        4.42          18 0.000819088
        4.55          18  0.00103276
        4.68          18  0.00110399
        4.81          18           0
        4.94          18           0
        5.07          18           0
         5.2          18           0
        5.33          18           0
        5.46          18           0
        5.59          18           0
        5.72          18           0
        5.85          18           0
        5.98          18           0
        6.11          18           0
        6.24          18           0
        6.37          18           0
         6.5          18           0
        6.63          18           0
        6.76          18           0
        6.89          18           0
        7.02          18           0
        7.15          18           0
        7.28          18           0
        7.41          18           0
        7.54          18           0
        7.67          18           0
           0          19  0.00594729
        0.13          19   0.0286325
        0.26          19   0.0737536
        0.39          19    0.140278
        0.52          19    0.240278
        0.65          19    0.305484
        0.78          19    0.369302
        0.91          19    0.430484
        1.04          19    0.484046
        1.17          19     0.52443
         1.3          19     0.51713
        1.43          19      0.5349
        1.56          19    0.523504
        1.69          19    0.486147
        1.82          19    0.453098
        1.95          19    0.438889
        2.08          19    0.397543
        2.21          19    0.364957
        2.34          19    0.314423
        2.47          19    0.244516
         2.6          19    0.202457
        2.73          19    0.148611
        2.86          19    0.117913
        2.99          19   0.0989672
        3.12          19   0.0703348
        3.25          19   0.0483262
        3.38          19   0.0405627
        3.51          19   0.0324074
        3.64          19   0.0217949
        3.77          19   0.0160256
         3.9          19   0.0079416
        4.03          19  0.00366809
        4.16          19  0.00281339
        4.29          19  0.00128205
        4.42          19 0.000249288
        4.55          19 0.000391738
        4.68          19 0.000819088
        4.81          19           0
        4.94          19           0
        5.07          19           0
         5.2          19           0
        5.33          19           0
        5.46          19           0
        5.59          19           0
        5.72          19           0
        5.85          19           0
        5.98          19           0
        6.11          19           0
        6.24          19           0
        6.37          19           0
         6.5          19           0
        6.63          19           0
        6.76          19           0
        6.89          19           0
        7.02          19           0
        7.15          19           0
        7.28          19           0
        7.41          19           0
        7.54          19           0
        7.67          19           0
           0          20  0.00352564
        0.13          20   0.0288818
        0.26          20   0.0720442
        0.39          20    0.131766
        0.52          20    0.197044
        0.65          20    0.280377
        0.78          20    0.333369
        0.91          20    0.407692
        1.04          20    0.464387
        1.17          20    0.550712
         1.3          20     0.55609
        1.43          20    0.565812
        1.56          20    0.542236
        1.69          20    0.542664
        1.82          20    0.506375
        1.95          20    0.428312
        2.08          20    0.368519
        2.21          20    0.362358
        2.34          20    0.307123
        2.47          20    0.247115
         2.6          20    0.200748
        2.73          20    0.155698
        2.86          20    0.134188
        2.99          20    0.101033
        3.12          20   0.0630698
        3.25          20   0.0475427
        3.38          20   0.0371083
        3.51          20   0.0206909
        3.64          20   0.0117521
        3.77          20  0.00658832
         3.9          20  0.00566239
        4.03          20  0.00544872
        4.16          20  0.00270655
        4.29          20  0.00292023
        4.42          20 0.000747863
        4.55          20           0
        4.68          20           0
        4.81          20           0
        4.94          20           0
        5.07          20           0
         5.2          20           0
        5.33          20           0
        5.46          20           0
        5.59          20           0
        5.72          20           0
        5.85          20           0
        5.98          20           0
        6.11          20           0
        6.24          20           0
        6.37          20           0
         6.5          20           0
        6.63          20           0
        6.76          20           0
        6.89          20           0
        7.02          20           0
        7.15          20           0
        7.28          20           0
        7.41          20           0
        7.54          20           0
        7.67          20           0
