#DISTANCE:      BLOCK_NUMBER:        AVE_GOFR:
    0.307796           6           0
    0.333445           6           0
    0.359095           6           0
    0.384745           6           0
    0.410394           6           0
    0.436044           6           0
    0.461694           6           0
    0.487343           6           0
    0.512993           6           0
    0.538642           6           0
    0.564292           6           0
    0.589942           6           0
    0.615591           6           0
    0.641241           6           0
    0.666891           6           0
     0.69254           6           0
     0.71819           6           0
     0.74384           6           0
    0.769489           6           0
    0.795139           6           0
    0.820788           6           0
    0.846438           6           0
    0.872088           6           0
    0.897737           6 0.000779506
    0.923387           6   0.0204009
    0.949037           6    0.161023
    0.974686           6    0.528555
     1.00034           6     1.11435
     1.02599           6     1.66605
     1.05164           6      2.2151
     1.07728           6     2.40899
     1.10293           6     2.41745
     1.12858           6     2.35847
     1.15423           6     2.03816
     1.17988           6     1.76479
     1.20553           6     1.62269
     1.23118           6     1.46923
     1.25683           6     1.28613
     1.28248           6     1.21565
     1.30813           6     1.07502
     1.33378           6     0.97626
     1.35943           6    0.865644
     1.38508           6    0.780883
     1.41073           6    0.755513
     1.43638           6     0.72186
     1.46203           6    0.703508
     1.48768           6    0.677047
     1.51333           6    0.683757
     1.53898           6    0.656405
     1.56463           6    0.627931
     1.59028           6     0.60287
     1.61593           6    0.622527
     1.64158           6    0.639937
     1.66723           6    0.622417
     1.69288           6    0.655823
     1.71853           6    0.667944
     1.74418           6    0.700613
     1.76983           6    0.737772
     1.79547           6     0.75951
     1.82112           6     0.76077
     1.84677           6    0.834564
     1.87242           6    0.869052
     1.89807           6    0.904044
     1.92372           6    0.942233
     1.94937           6    0.988528
     1.97502           6     1.04762
     2.00067           6     1.05374
     2.02632           6     1.11491
     2.05197           6      1.1447
     2.07762           6       1.118
     2.10327           6     1.14271
     2.12892           6     1.15025
     2.15457           6     1.12473
     2.18022           6     1.07401
     2.20587           6      1.1198
     2.23152           6     1.06455
     2.25717           6     1.02806
     2.28282           6      1.0121
     2.30847           6    0.980485
     2.33412           6    0.972718
     2.35977           6    0.934839
     2.38542           6    0.912371
     2.41107           6    0.873985
     2.43672           6    0.882761
     2.46237           6    0.848519
     2.48802           6    0.830554
     2.51366           6    0.834393
     2.53931           6    0.827541
           0           7           0
   0.0256496           7           0
   0.0512993           7           0
   0.0769489           7           0
    0.102599           7           0
    0.128248           7           0
    0.153898           7           0
    0.179547           7           0
    0.205197           7           0
    0.230847           7           0
    0.256496           7           0
    0.282146           7           0
    0.307796           7           0
    0.333445           7           0
    0.359095           7           0
    0.384745           7           0
    0.410394           7           0
    0.436044           7           0
    0.461694           7           0
    0.487343           7           0
    0.512993           7           0
    0.538642           7           0
    0.564292           7           0
    0.589942           7           0
    0.615591           7           0
    0.641241           7           0
    0.666891           7           0
     0.69254           7           0
     0.71819           7           0
     0.74384           7           0
    0.769489           7           0
    0.795139           7           0
    0.820788           7           0
    0.846438           7           0
    0.872088           7           0
    0.897737           7           0
    0.923387           7   0.0183936
    0.949037           7     0.15819
    0.974686           7    0.512427
     1.00034           7     1.11938
     1.02599           7     1.69087
     1.05164           7     2.12355
     1.07728           7     2.45966
     1.10293           7     2.43244
     1.12858           7     2.28737
     1.15423           7     2.08543
     1.17988           7     1.86245
     1.20553           7     1.65505
     1.23118           7     1.50452
     1.25683           7     1.28709
     1.28248           7      1.1395
     1.30813           7     1.04578
     1.33378           7     0.90737
     1.35943           7    0.880594
     1.38508           7    0.836155
     1.41073           7    0.783296
     1.43638           7     0.71208
     1.46203           7    0.643568
     1.48768           7    0.651322
     1.51333           7    0.636659
     1.53898           7     0.63204
     1.56463           7    0.641091
     1.59028           7    0.639114
     1.61593           7    0.644252
     1.64158           7    0.638206
     1.66723           7    0.660518
     1.69288           7    0.644357
     1.71853           7    0.693291
     1.74418           7    0.725726
     1.76983           7    0.753297
     1.79547           7     0.74563
     1.82112           7    0.797773
     1.84677           7    0.832072
     1.87242           7    0.882469
     1.89807           7    0.909836
     1.92372           7    0.965624
     1.94937           7     1.00219
     1.97502           7     1.05959
     2.00067           7      1.0671
     2.02632           7     1.08724
     2.05197           7     1.08176
     2.07762           7     1.11034
     2.10327           7     1.11039
     2.12892           7     1.11442
     2.15457           7       1.094
     2.18022           7     1.08673
     2.20587           7     1.06298
     2.23152           7     1.05818
     2.25717           7     1.03865
     2.28282           7     1.01741
     2.30847           7    0.984984
     2.33412           7    0.975834
     2.35977           7    0.968526
     2.38542           7    0.929945
     2.41107           7    0.896929
     2.43672           7    0.845455
     2.46237           7    0.843666
     2.48802           7    0.863326
     2.51366           7    0.830596
     2.53931           7    0.832916
           0           8           0
   0.0256496           8           0
   0.0512993           8           0
   0.0769489           8           0
    0.102599           8           0
    0.128248           8           0
    0.153898           8           0
    0.179547           8           0
    0.205197           8           0
    0.230847           8           0
    0.256496           8           0
    0.282146           8           0
    0.307796           8           0
    0.333445           8           0
    0.359095           8           0
    0.384745           8           0
    0.410394           8           0
    0.436044           8           0
    0.461694           8           0
    0.487343           8           0
    0.512993           8           0
    0.538642           8           0
    0.564292           8           0
    0.589942           8           0
    0.615591           8           0
    0.641241           8           0
    0.666891           8           0
     0.69254           8           0
     0.71819           8           0
     0.74384           8           0
    0.769489           8           0
    0.795139           8           0
    0.820788           8           0
    0.846438           8           0
    0.872088           8           0
    0.897737           8   0.0014724
    0.923387           8   0.0236781
    0.949037           8    0.166961
    0.974686           8     0.54192
     1.00034           8     1.14537
     1.02599           8     1.75369
     1.05164           8     2.17957
