#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         398      1.1556     1.19167   0.0170318
         399     1.17122     1.19162   0.0169891
         400     1.18589      1.1916   0.0169467
         401      1.1995     1.19162   0.0169044
         402     1.21201     1.19167   0.0168625
         403     1.22334     1.19175   0.0168208
         404     1.23349     1.19185   0.0167795
         405     1.24243     1.19198   0.0167385
         406     1.25016     1.19212   0.0166979
         407      1.2567     1.19228   0.0166576
         408     1.26207     1.19245   0.0166177
         409     1.26633     1.19263    0.016578
         410     1.26952     1.19282   0.0165387
         411      1.2717     1.19301   0.0164995
         412     1.27295     1.19321   0.0164606
         413     1.27334      1.1934   0.0164219
         414     1.27296     1.19359   0.0163834
         415     1.27189     1.19378    0.016345
         416     1.27022     1.19397   0.0163067
         417     1.26806     1.19414   0.0162686
         418     1.26551     1.19431   0.0162306
         419     1.26264     1.19448   0.0161926
         420     1.25956     1.19463   0.0161548
         421     1.25637     1.19478   0.0161171
         422     1.25315     1.19492   0.0160795
         423     1.24997     1.19505    0.016042
         424     1.24693     1.19517   0.0160047
         425     1.24408     1.19528   0.0159674
         426     1.24148     1.19539   0.0159303
         427      1.2392      1.1955   0.0158933
         428     1.23727     1.19559   0.0158565
         429     1.23574     1.19569   0.0158198
         430     1.23464     1.19578   0.0157833
         431     1.23398     1.19587   0.0157469
         432     1.23378     1.19595   0.0157107
         433     1.23404     1.19604   0.0156747
         434     1.23477     1.19613   0.0156388
         435     1.23595     1.19622   0.0156031
         436     1.23758     1.19632   0.0155676
         437     1.23965     1.19642   0.0155323
         438     1.24213     1.19652   0.0154972
         439       1.245     1.19663   0.0154623
         440     1.24823     1.19675   0.0154276
         441     1.25182     1.19687   0.0153931
         442     1.25571     1.19701   0.0153589
         443      1.2599     1.19715   0.0153249
         444     1.26435      1.1973   0.0152911
         445     1.26903     1.19746   0.0152576
         446      1.2739     1.19763   0.0152243
         447     1.27895     1.19781   0.0151914
         448     1.28413     1.19801   0.0151587
         449     1.28942     1.19821   0.0151263
         450     1.29478     1.19842   0.0150942
         451     1.30018     1.19865   0.0150624
         452     1.30559     1.19889   0.0150309
         453     1.31097     1.19913   0.0149998
         454     1.31628     1.19939    0.014969
         455     1.32149     1.19966   0.0149385
         456     1.32656     1.19994   0.0149083
         457     1.33147     1.20023   0.0148785
         458     1.33618     1.20052   0.0148489
         459     1.34066     1.20083   0.0148197
         460     1.34488     1.20114   0.0147908
         461     1.34881     1.20146   0.0147622
         462     1.35242     1.20179   0.0147339
         463      1.3557     1.20212   0.0147058
         464     1.35863     1.20246    0.014678
         465     1.36118      1.2028   0.0146504
         466     1.36335     1.20314    0.014623
         467     1.36512     1.20349   0.0145958
         468     1.36648     1.20384   0.0145687
         469     1.36744     1.20419   0.0145419
         470     1.36799     1.20454   0.0145151
         471     1.36813     1.20488   0.0144884
         472     1.36786     1.20523   0.0144619
         473     1.36721     1.20557   0.0144353
         474     1.36618     1.20591   0.0144089
         475     1.36478     1.20625   0.0143824
         476     1.36303     1.20658    0.014356
         477     1.36096      1.2069   0.0143295
         478     1.35857     1.20722    0.014303
         479     1.35591     1.20753   0.0142765
         480     1.35299     1.20783     0.01425
         481     1.34983     1.20812   0.0142235
         482     1.34646     1.20841   0.0141968
         483     1.34291     1.20869   0.0141702
         484      1.3392     1.20896   0.0141435
         485     1.33535     1.20922   0.0141167
         486     1.33139     1.20947   0.0140899
         487     1.32734     1.20971    0.014063
         488     1.32322     1.20995   0.0140361
         489     1.31906     1.21017   0.0140092
         490     1.31486     1.21038   0.0139823
         491     1.31065     1.21059   0.0139553
         492     1.30643     1.21078   0.0139283
         493     1.30222     1.21097   0.0139012
         494     1.29802     1.21114   0.0138742
         495     1.29383     1.21131   0.0138472
         496     1.28966     1.21147   0.0138202
         497     1.28551     1.21162   0.0137932
         498     1.28137     1.21176   0.0137662
         499     1.27725     1.21189   0.0137392
         500     1.27314     1.21201   0.0137123
         501     1.26903     1.21213   0.0136854
         502     1.26491     1.21223   0.0136585
         503     1.26078     1.21233   0.0136317
         504     1.25664     1.21242    0.013605
         505     1.25246     1.21249   0.0135783
         506     1.24826     1.21257   0.0135516
         507     1.24401     1.21263    0.013525
         508     1.23972     1.21268   0.0134985
         509     1.23539     1.21273   0.0134721
         510     1.23101     1.21276   0.0134457
         511     1.22659     1.21279   0.0134194
         512     1.22214     1.21281   0.0133932
         513     1.21766     1.21282   0.0133671
         514     1.21315     1.21282   0.0133411
         515     1.20865     1.21281   0.0133152
         516     1.20415     1.21279   0.0132894
         517     1.19968     1.21277   0.0132637
         518     1.19527     1.21273   0.0132382
         519     1.19093     1.21269   0.0132127
         520     1.18669     1.21264   0.0131874
         521     1.18259     1.21258   0.0131622
         522     1.17864     1.21252   0.0131372
         523     1.17489     1.21245   0.0131122
         524     1.17134     1.21237   0.0130875
         525     1.16805     1.21228   0.0130628
         526     1.16502     1.21219   0.0130383
         527     1.16229      1.2121   0.0130139
         528     1.15989       1.212   0.0129896
         529     1.15783      1.2119   0.0129655
         530     1.15614     1.21179   0.0129414
         531     1.15484     1.21168   0.0129175
         532     1.15394     1.21158   0.0128937
         533     1.15345     1.21147   0.0128699
         534     1.15339     1.21136   0.0128463
         535     1.15375     1.21125   0.0128227
         536     1.15455     1.21114   0.0127992
         537     1.15577     1.21104   0.0127758
         538     1.15741     1.21094   0.0127525
         539     1.15947     1.21085   0.0127292
         540     1.16194     1.21076   0.0127059
         541      1.1648     1.21067   0.0126827
         542     1.16804     1.21059   0.0126596
         543     1.17164     1.21052   0.0126364
         544     1.17558     1.21046   0.0126134
         545     1.17984      1.2104   0.0125904
         546      1.1844     1.21035   0.0125674
         547     1.18925     1.21031   0.0125445
         548     1.19435     1.21028   0.0125216
         549      1.1997     1.21027   0.0124988
