#DISTANCE:      BLOCK_NUMBER:        ACTUAL_POFV:         AVE_POFV:        ERROR:
     4.66667           9           0   0.0076929  0.00193943
         4.8           9           0  0.00732639  0.00199772
     4.93333           9           0  0.00412037  0.00233563
     5.06667           9           0  0.00204475  0.00177381
         5.2           9           0 0.000933642 0.000734271
     5.33333           9           0 0.000408951 0.000385562
     5.46667           9           0 2.31481e-05 2.18243e-05
         5.6           9           0           0           0
     5.73333           9           0           0           0
     5.86667           9           0           0           0
           6           9           0           0           0
     6.13333           9           0           0           0
     6.26667           9           0           0           0
         6.4           9           0           0           0
     6.53333           9           0           0           0
     6.66667           9           0           0           0
         6.8           9           0           0           0
     6.93333           9           0           0           0
     7.06667           9           0           0           0
         7.2           9           0           0           0
     7.33333           9           0           0           0
     7.46667           9           0           0           0
         7.6           9           0           0           0
     7.73333           9           0           0           0
     7.86667           9           0           0           0
           0          10  0.00243056  0.00412847 0.000880829
    0.133333          10   0.0250347   0.0279965  0.00829225
    0.266667          10   0.0585417   0.0543576  0.00713515
         0.4          10   0.0897222   0.0820069  0.00886323
    0.533333          10    0.182674    0.132885   0.0164527
    0.666667          10    0.317396    0.210997   0.0207664
         0.8          10    0.377535    0.286052   0.0214321
    0.933333          10    0.373785    0.394031   0.0250073
     1.06667          10    0.471285    0.378326   0.0259452
         1.2          10    0.446562    0.412312   0.0149598
     1.33333          10    0.565903    0.482819   0.0301591
     1.46667          10    0.508958    0.444976   0.0177692
         1.6          10    0.454062    0.461889    0.022659
     1.73333          10     0.40559    0.497861   0.0217067
     1.86667          10    0.470556    0.499465   0.0315749
           2          10    0.389028    0.438434   0.0260861
     2.13333          10    0.399132    0.409653   0.0223754
     2.26667          10    0.275729    0.428437   0.0208546
         2.4          10    0.159618    0.317208   0.0351865
     2.53333          10    0.164549    0.319392   0.0366854
     2.66667          10    0.134826     0.22301   0.0250533
         2.8          10    0.227743    0.203684   0.0156148
     2.93333          10    0.247396     0.19192   0.0215861
     3.06667          10    0.151215    0.128417    0.015468
         3.2          10    0.212187    0.133854   0.0148535
     3.33333          10    0.156528   0.0803507   0.0131586
     3.46667          10   0.0958681   0.0672187   0.0106497
         3.6          10   0.0864236   0.0578646   0.0108116
     3.73333          10    0.035625   0.0343507  0.00522315
     3.86667          10   0.0140972   0.0219792  0.00495934
           4          10           0   0.0095625  0.00268656
     4.13333          10           0  0.00961458  0.00427997
     4.26667          10           0  0.00700694  0.00377917
         4.4          10           0   0.0113611  0.00523184
     4.53333          10           0   0.0162812  0.00554185
     4.66667          10           0  0.00692361  0.00189192
         4.8          10           0  0.00659375  0.00192761
     4.93333          10           0  0.00370833   0.0021381
     5.06667          10           0  0.00184028  0.00160818
         5.2          10           0 0.000840278 0.000666753
     5.33333          10           0 0.000368056 0.000349168
     5.46667          10           0 2.08333e-05 1.97642e-05
         5.6          10           0           0           0
     5.73333          10           0           0           0
     5.86667          10           0           0           0
           6          10           0           0           0
     6.13333          10           0           0           0
     6.26667          10           0           0           0
         6.4          10           0           0           0
     6.53333          10           0           0           0
     6.66667          10           0           0           0
