#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         379          -1   -0.985858  0.00218503
         380          -1   -0.985895   0.0021796
         381          -1   -0.985932   0.0021742
         382          -1   -0.985969  0.00216882
         383          -1   -0.986005  0.00216346
         384          -1   -0.986042  0.00215814
         385          -1   -0.986078  0.00215283
         386          -1   -0.986114  0.00214756
         387          -1    -0.98615  0.00214231
         388          -1   -0.986186  0.00213709
         389          -1   -0.986221  0.00213189
         390          -1   -0.986256  0.00212671
         391          -1   -0.986292  0.00212156
         392          -1   -0.986327  0.00211644
         393          -1   -0.986361  0.00211134
         394          -1   -0.986396  0.00210627
         395          -1    -0.98643  0.00210122
         396          -1   -0.986465  0.00209619
         397          -1   -0.986499  0.00209119
         398          -1   -0.986533  0.00208621
         399          -1   -0.986566  0.00208125
         400          -1     -0.9866  0.00207632
         401          -1   -0.986633  0.00207141
         402          -1   -0.986667  0.00206652
         403          -1     -0.9867  0.00206166
         404          -1   -0.986733  0.00205682
         405          -1   -0.986765    0.002052
         406          -1   -0.986798  0.00204721
         407          -1    -0.98683  0.00204243
         408          -1   -0.986863  0.00203768
         409          -1   -0.986895  0.00203295
         410          -1   -0.986927  0.00202825
         411          -1   -0.986959  0.00202356
         412       -0.92   -0.986796  0.00202517
         413          -1   -0.986828  0.00202052
         414          -1    -0.98686  0.00201589
         415          -1   -0.986892  0.00201128
         416          -1   -0.986923  0.00200669
         417          -1   -0.986954  0.00200212
         418          -1   -0.986986  0.00199757
         419          -1   -0.987017  0.00199305
         420          -1   -0.987048  0.00198854
         421          -1   -0.987078  0.00198406
         422          -1   -0.987109  0.00197959
         423          -1   -0.987139  0.00197515
         424          -1    -0.98717  0.00197072
         425          -1     -0.9872  0.00196632
         426          -1    -0.98723  0.00196193
         427          -1    -0.98726  0.00195756
         428          -1    -0.98729  0.00195322
         429          -1   -0.987319  0.00194889
         430          -1   -0.987349  0.00194458
         431          -1   -0.987378  0.00194029
         432          -1   -0.987407  0.00193602
         433          -1   -0.987436  0.00193176
         434          -1   -0.987465  0.00192753
         435          -1   -0.987494  0.00192331
         436          -1   -0.987523  0.00191912
         437          -1   -0.987551  0.00191494
         438          -1    -0.98758  0.00191078
         439          -1   -0.987608  0.00190663
         440          -1   -0.987636  0.00190251
         441          -1   -0.987664   0.0018984
         442          -1   -0.987692  0.00189431
         443          -1    -0.98772  0.00189024
         444          -1   -0.987748  0.00188618
         445          -1   -0.987775  0.00188214
         446          -1   -0.987803  0.00187812
         447          -1    -0.98783  0.00187412
         448          -1   -0.987857  0.00187013
         449          -1   -0.987884  0.00186617
         450          -1   -0.987911  0.00186221
         451          -1   -0.987938  0.00185828
         452          -1   -0.987965  0.00185436
         453          -1   -0.987991  0.00185045
         454          -1   -0.988018  0.00184657
         455          -1   -0.988044   0.0018427
         456          -1    -0.98807  0.00183884
         457          -1   -0.988096    0.001835
         458          -1   -0.988122  0.00183118
         459          -1   -0.988148  0.00182737
         460          -1   -0.988174  0.00182358
         461          -1     -0.9882  0.00181981
         462          -1   -0.988225  0.00181605
