#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           8     0.24458    0.244435 0.000146219
           9    0.244976    0.244495 0.000141771
          10    0.243643     0.24441 0.000151053
          11    0.244402    0.244409 0.000137323
          12    0.244114    0.244385 0.000128068
          13    0.244801    0.244417 0.000122159
          14    0.244563    0.244427 0.000113879
          15    0.243732    0.244381 0.000115332
          16    0.244866    0.244411 0.000112044
          17    0.244816    0.244435 0.000107957
          18    0.244397    0.244433  0.00010198
          19    0.243495    0.244383 0.000107898
          20    0.244887    0.244409 0.000105406
          21    0.244648     0.24442    0.000101
          22    0.244802    0.244437 9.78937e-05
          23    0.244347    0.244433 9.37161e-05
          24     0.24373    0.244404 9.42873e-05
          25    0.244715    0.244417 9.13329e-05
          26    0.243872    0.244396 9.01909e-05
          27    0.244733    0.244408 8.77112e-05
          28    0.244023    0.244394 8.56508e-05
          29    0.245329    0.244427  8.8554e-05
          30    0.244957    0.244444 8.73522e-05
          31    0.243453    0.244412 9.01989e-05
          32    0.246507    0.244478  0.00010856
          33    0.243396    0.244445  0.00011011
          34    0.242365    0.244384 0.000122693
          35    0.244355    0.244383  0.00011919
          36    0.244496    0.244386 0.000115921
          37    0.243507    0.244362 0.000115195
          38    0.244042    0.244354 0.000112473
          39     0.24481    0.244366 0.000110196
          40     0.24446    0.244368 0.000107467
          41    0.244485    0.244371 0.000104883
          42    0.243969    0.244361 0.000102821
          43    0.245153     0.24438 0.000102064
          44    0.243439    0.244358 0.000101958
          45    0.244525    0.244362 9.97594e-05
          46    0.245459    0.244386   0.0001004
          47    0.245732    0.244415 0.000102268
          48    0.245078    0.244428 0.000101068
          49    0.244699    0.244434  9.9156e-05
          50    0.243756     0.24442 9.80957e-05
           1    0.216779    0.216779           0
           2    0.216903    0.216841 4.38995e-05
           3    0.216011    0.216564 0.000227858
           4     0.21673    0.216606 0.000174634
           5    0.217095    0.216704 0.000164887
           6    0.216818    0.216723 0.000138506
           7    0.216923    0.216752 0.000121646
           8    0.216882    0.216768 0.000107532
           9    0.216749    0.216766  9.5605e-05
          10    0.215896    0.216679 0.000119235
          11    0.217089    0.216716 0.000114082
          12     0.21671    0.216716 0.000104576
          13     0.21586     0.21665 0.000115389
          14    0.217071     0.21668 0.000111004
          15     0.21778    0.216753 0.000125513
          16    0.216626    0.216745 0.000117918
          17    0.217036    0.216762 0.000112218
          18    0.216012    0.216721 0.000113456
          19    0.216527    0.216711 0.000107942
          20    0.217055    0.216728 0.000103913
          21     0.21717    0.216749 0.000101072
          22    0.216855    0.216754 9.65937e-05
          23    0.215917    0.216717 9.90064e-05
          24      0.2162    0.216696 9.71977e-05
          25    0.216718    0.216697 9.33139e-05
          26    0.215924    0.216667 9.43365e-05
          27    0.216712    0.216669 9.08574e-05
          28    0.217117    0.216685 8.90138e-05
          29    0.217327    0.216707 8.86545e-05
          30    0.217103     0.21672 8.66757e-05
          31     0.21671     0.21672 8.38804e-05
          32    0.217323    0.216738 8.33532e-05
          33    0.217271    0.216755 8.23719e-05
          34    0.216773    0.216755  7.9951e-05
          35    0.217034    0.216763 7.80631e-05
          36    0.215535    0.216729 8.30171e-05
          37    0.216853    0.216732 8.08412e-05
          38    0.215633    0.216703 8.37324e-05
          39    0.216476    0.216698 8.17879e-05
          40    0.216921    0.216703 7.99334e-05
          41    0.217322    0.216718 7.93966e-05
          42    0.216647    0.216717 7.75243e-05
          43    0.216227    0.216705 7.65514e-05
          44    0.216812    0.216708 7.48503e-05
          45    0.216475    0.216702 7.33653e-05
          46    0.216652    0.216701 7.17786e-05
          47    0.216177     0.21669 7.11146e-05
          48    0.216941    0.216695 6.98253e-05
          49    0.217219    0.216706 6.92139e-05
          50    0.215637    0.216685 7.10541e-05
           1    0.193036    0.193036           0
           2    0.192436    0.192736 0.000212019
           3    0.192412    0.192628 0.000166713
           4    0.192374    0.192565 0.000136591
           5    0.192944     0.19264 0.000128638
           6    0.192785    0.192664  0.00010942
           7    0.192294    0.192612 0.000105812
           8    0.192479    0.192595 9.38799e-05
           9    0.192066    0.192536 0.000100194
          10    0.192411    0.192524 9.09503e-05
          11    0.192792    0.192548 8.58841e-05
          12    0.191725    0.192479 0.000102528
          13    0.192735    0.192499 9.65127e-05
          14    0.192523    0.192501 8.96339e-05
          15    0.192411    0.192495 8.38585e-05
          16    0.192655    0.192505 7.92107e-05
          17    0.193321    0.192553 8.79045e-05
          18    0.192105    0.192528 8.64752e-05
          19    0.193221    0.192564 8.92829e-05
          20     0.19203    0.192538  8.8721e-05
          21    0.192187    0.192521 8.60572e-05
          22    0.193168     0.19255 8.70263e-05
          23    0.192443    0.192546 8.33672e-05
          24    0.192356    0.192538 8.02668e-05
          25    0.192589     0.19254 7.70827e-05
          26    0.193338    0.192571 7.99914e-05
          27    0.192414    0.192565 7.72376e-05
          28    0.192645    0.192568  7.4532e-05
          29    0.192292    0.192558 7.25675e-05
          30    0.192593    0.192559  7.0158e-05
          31    0.192069    0.192543 6.96561e-05
          32    0.192868    0.192554 6.82144e-05
          33    0.192648    0.192556 6.62073e-05
          34    0.192804    0.192564 6.46585e-05
          35    0.192285    0.192556 6.32982e-05
          36    0.192367    0.192551 6.17567e-05
          37    0.192202    0.192541 6.08034e-05
          38    0.192784    0.192548 5.95383e-05
          39     0.19313    0.192562 5.98533e-05
          40    0.192861     0.19257 5.88218e-05
          41    0.192061    0.192557 5.86832e-05
          42     0.19299    0.192568 5.81828e-05
          43    0.192584    0.192568  5.6831e-05
          44    0.192647     0.19257 5.55679e-05
          45    0.193396    0.192588 5.72858e-05
          46    0.192376    0.192584 5.62256e-05
          47     0.19239     0.19258 5.51805e-05
          48    0.192477    0.192577  5.4072e-05
          49    0.192728    0.192581 5.30556e-05
          50    0.192493    0.192579 5.20231e-05
