#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
          48    0.054076   0.0481183  0.00166462
          49    0.049732   0.0481513  0.00163097
          50    0.039532   0.0479789  0.00160743
           1    0.038576    0.038576           0
           2    0.046256    0.042416  0.00271529
           3    0.019164   0.0346653   0.0065822
           4    0.035268    0.034816  0.00493837
           5     0.03618   0.0350888  0.00395823
           6    0.034208    0.034942  0.00330124
           7    0.048376   0.0368611  0.00334123
           8    0.042852     0.03761  0.00300632
           9     0.05004   0.0389911  0.00297265
          10    0.040632   0.0391552  0.00267991
          11    0.037736   0.0390262  0.00243938
          12     0.03902   0.0390257   0.0022361
          13    0.049928   0.0398643  0.00221579
          14    0.036924   0.0396543  0.00206744
          15    0.029008   0.0389445  0.00204782
          16    0.021356   0.0378452  0.00219514
          17      0.0273   0.0372249  0.00215188
          18    0.042096   0.0374956  0.00204927
          19     0.03444   0.0373347  0.00194772
          20    0.037356   0.0373358  0.00185033
          21    0.042156   0.0375653   0.0017764
          22    0.051588   0.0382027  0.00180639
          23    0.029324   0.0378167  0.00176862
          24    0.029608   0.0374747  0.00172768
          25    0.038436   0.0375131    0.001659
          26    0.033356   0.0373532  0.00160288
          27    0.048704   0.0377736   0.0015977
          28     0.02494   0.0373153  0.00160503
          29    0.049356   0.0377305  0.00160249
          30     0.05158   0.0381921   0.0016142
          31    0.030128    0.037932  0.00158295
          32    0.058752   0.0385826  0.00166183
          33    0.037076    0.038537  0.00161209
          34    0.054888   0.0390179  0.00163484
          35    0.035296   0.0389115  0.00159158
          36    0.029864   0.0386602  0.00156709
          37    0.045136   0.0388352  0.00153448
          38    0.033072   0.0386836  0.00150157
          39    0.048368   0.0389319  0.00148346
          40    0.041652   0.0389999  0.00144793
          41     0.05166   0.0393087  0.00144517
          42    0.028364   0.0390481  0.00143406
          43    0.042712   0.0391333  0.00140324
          44    0.031184   0.0389526  0.00138293
          45     0.04232   0.0390275  0.00135422
          46    0.037124   0.0389861  0.00132541
          47    0.037764   0.0389601  0.00129747
          48    0.045624   0.0390989  0.00127784
          49    0.047696   0.0392744  0.00126375
          50    0.040392   0.0392967  0.00123868
           1    0.028772    0.028772           0
           2    0.027932    0.028352 0.000296985
           3    0.021476     0.02606  0.00188185
           4    0.025472    0.025913  0.00141712
           5    0.034288    0.027588  0.00187877
           6    0.042052   0.0299987  0.00270074
           7      0.0362   0.0308846  0.00245592
           8    0.035808      0.0315  0.00222471
           9    0.031892   0.0315436  0.00197794
          10     0.03792   0.0321812  0.00188012
          11    0.024192   0.0314549  0.00184416
          12    0.052092   0.0331747  0.00235983
          13     0.02254   0.0323566  0.00231576
          14     0.04174   0.0330269  0.00224525
          15     0.03444   0.0331211  0.00209754
          16     0.03224    0.033066  0.00196717
          17    0.032296   0.0330207  0.00185197
          18    0.033208   0.0330311  0.00174912
          19    0.039128    0.033352  0.00168624
          20     0.03564   0.0334664   0.0016058
          21     0.03706   0.0336375  0.00153842
          22    0.022512   0.0331318  0.00154938
          23    0.038848   0.0333803  0.00150182
          24    0.025696   0.0330602  0.00147298
          25     0.03214   0.0330234  0.00141452
          26    0.037472   0.0331945  0.00137042
          27    0.028692   0.0330277  0.00132978
          28    0.037564   0.0331897  0.00129212
          29     0.03846   0.0333714  0.00126027
          30     0.04572   0.0337831  0.00128373
          31    0.031056   0.0336951  0.00124533
          32    0.026976   0.0334851  0.00122398
          33      0.0371   0.0335947  0.00119178
          34    0.038556   0.0337406  0.00116563
          35    0.027576   0.0335645  0.00114556
          36    0.028004     0.03341   0.0011241
          37    0.018588   0.0330094  0.00116291
          38    0.031144   0.0329603  0.00113334
          39    0.042232   0.0331981  0.00112894
          40    0.032664   0.0331847   0.0011008
          41    0.035604   0.0332437  0.00107553
          42    0.019884   0.0329256  0.00109595
          43    0.024036   0.0327189  0.00108979
          44    0.039036   0.0328625  0.00107443
          45     0.04038   0.0330295  0.00106347
          46    0.018704   0.0327181  0.00108499
          47     0.03664   0.0328015  0.00106511
          48    0.033932   0.0328251  0.00104318
          49    0.030316   0.0327739  0.00102314
          50     0.03702   0.0328588   0.0010062
           1    0.019484    0.019484           0
           2    0.022504    0.020994  0.00106773
           3     0.02718    0.023056  0.00182791
           4    0.034976    0.026036  0.00292229
           5    0.027652   0.0263592  0.00235563
           6    0.022292   0.0256813  0.00205825
           7    0.023764   0.0254074  0.00178235
           8    0.018912   0.0245955  0.00173466
           9    0.031032   0.0253107   0.0016829
          10    0.018828   0.0246624   0.0016347
          11    0.039828   0.0260411  0.00198405
          12    0.018468     0.02541  0.00191646
          13    0.027452   0.0255671  0.00177546
          14     0.01632   0.0249066  0.00176724
          15    0.023088   0.0247853  0.00165358
          16    0.030532   0.0251445  0.00158876
          17    0.020144   0.0248504  0.00152229
          18    0.024424   0.0248267   0.0014379
          19    0.021884   0.0246718  0.00137054
          20    0.025212   0.0246988  0.00130228
          21     0.02468   0.0246979  0.00124026
          22    0.027576   0.0248287  0.00119077
