#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
          35     1.93978     1.90129  0.00849604
          36     1.93517     1.90223  0.00831198
          37      1.9496     1.90351  0.00818535
          38     1.96025     1.90501  0.00810499
          39     1.85421      1.9037  0.00800115
          40     1.88744      1.9033  0.00781145
          41     1.80685     1.90094  0.00796724
          42     1.94902     1.90209  0.00785935
          43      1.8862     1.90172  0.00768526
          44     1.93615      1.9025  0.00755032
          45      1.8864     1.90214  0.00739101
          46     1.86256     1.90128  0.00728025
          47     1.91907     1.90166  0.00713518
          48      1.9232     1.90211  0.00700063
          49     1.86122     1.90128  0.00690732
          50     1.85925     1.90044  0.00682011
           1     1.53603     1.53603           0
           2     1.55152     1.54378  0.00547798
           3     1.58065     1.55607    0.010679
           4     1.59587     1.56602   0.0117654
           5     1.63333     1.57948   0.0152828
           6     1.61398     1.58523   0.0137747
           7     1.60766     1.58843   0.0121738
           8     1.56822     1.58591   0.0109111
           9     1.56293     1.58335  0.00999297
          10      1.6393     1.58895   0.0104431
          11     1.58269     1.58838  0.00950922
          12     1.56598     1.58651  0.00889805
          13       1.592     1.58694  0.00822357
          14     1.63615     1.59045  0.00835369
          15     1.52396     1.58602  0.00889542
          16     1.58904     1.58621  0.00834146
          17     1.57163     1.58535  0.00789475
          18     1.64266     1.58853  0.00807267
          19     1.62921     1.59067  0.00792654
          20     1.57642     1.58996  0.00756217
          21     1.58857      1.5899  0.00720236
          22     1.60875     1.59075  0.00692577
          23     1.60433     1.59134  0.00664978
          24      1.6105     1.59214  0.00642041
          25      1.5761      1.5915  0.00619557
          26     1.59635     1.59169  0.00596009
          27     1.57999     1.59125  0.00575507
          28     1.54755     1.58969  0.00575733
          29     1.52111     1.58733    0.006025
          30     1.55685     1.58631   0.0059092
          31     1.60585     1.58694   0.0057521
          32     1.59267     1.58712  0.00557514
          33     1.56786     1.58654  0.00543665
          34     1.60217       1.587  0.00529616
          35     1.55119     1.58597  0.00524271
          36     1.59143     1.58613  0.00509927
          37     1.60973     1.58676   0.0050012
          38     1.60507     1.58724  0.00489275
          39     1.59578     1.58746  0.00477218
          40     1.61096     1.58805  0.00468888
          41     1.56953      1.5876  0.00459622
          42     1.59917     1.58787  0.00449503
          43     1.61471      1.5885  0.00443361
          44     1.58337     1.58838  0.00433438
          45     1.60157     1.58868  0.00424796
          46     1.61064     1.58915  0.00418237
          47     1.64772      1.5904  0.00427501
          48     1.55811     1.58973  0.00423854
          49     1.55261     1.58897  0.00421918
          50     1.57952     1.58878  0.00413903
           1      1.3991      1.3991           0
           2     1.36694     1.38302   0.0113717
           3     1.35699     1.37434   0.0103768
           4     1.41449     1.38438   0.0116666
           5     1.29246       1.366   0.0189073
           6     1.34707     1.36284    0.016017
           7      1.3557     1.36182   0.0137614
           8     1.37086     1.36295   0.0120875
           9     1.37057      1.3638    0.010774
          10     1.40608     1.36803   0.0104934
          11     1.33355     1.36489  0.00999661
          12     1.38454     1.36653  0.00929665
          13     1.31804      1.3628  0.00929957
          14     1.41623     1.36661   0.0093858
          15     1.37073     1.36689  0.00876409
          16     1.30413     1.36297  0.00905159
          17     1.32184     1.36055  0.00883653
          18     1.40187     1.36284  0.00863864
          19     1.35681     1.36253  0.00818981
          20     1.39769     1.36428  0.00796684
          21     1.36849     1.36448  0.00758998
          22     1.32165     1.36254  0.00749053
          23       1.403      1.3643  0.00736855
          24     1.38819     1.36529  0.00712847
          25     1.31126     1.36313  0.00716349
          26      1.3081     1.36101  0.00719391
          27     1.33589     1.36008  0.00698738
          28     1.31416     1.35844  0.00692765
          29     1.36564     1.35869  0.00669321
          30     1.34755     1.35832   0.0064804
          31     1.37038     1.35871  0.00628302
          32     1.35446     1.35858  0.00608808
          33     1.39219      1.3596  0.00598818
          34     1.31665     1.35833  0.00594377
          35     1.35671     1.35829  0.00577413
          36     1.34841     1.35801  0.00562025
          37     1.31825     1.35694  0.00557014
          38     1.36871     1.35725  0.00543216
          39     1.31653      1.3562  0.00539228
          40     1.32853     1.35551  0.00530166
          41     1.38875     1.35632  0.00523398
          42     1.32367     1.35554  0.00516677
          43     1.35833     1.35561  0.00504701
          44      1.3712     1.35596  0.00494473
          45     1.36015     1.35606  0.00483572
          46     1.36358     1.35622  0.00473336
          47     1.34878     1.35606   0.0046353
          48     1.38675      1.3567   0.0045826
          49      1.3834     1.35725  0.00452135
          50     1.36138     1.35733  0.00443168
